report_no,date_documented,date_time_found,year_found,month,hour,season,country,location,latitude,longitude,UFO_shape,length_of_encounter_seconds,distance_to_nearest_airport_km,description
1,10/27/2004,4/1/1966 22:00,1966,4,22,Spring,Vietnam,Da Nang,16.054407,108.202167,Disk,300.0,1.20567781119726,Craft was seen at about 22:00 hours in the combat area none as I Corps. This ia about 50 miles outside of Da nang. The craft was hugh.
2,10/27/2004,4/3/1966 22:00,1966,4,22,Spring,Vietnam,Gia Lai Province,14.058324,108.277199,Disk,600.0,220.956691878714,Object moved very slow over our position. There was wind with turblence. no lights. object was Black.Huge
3,3/13/2012,06/30/1966 00:00,1966,6,0,Summer,Vietnam,Gia Lai Province,14.058324,108.277199,Circle,480.0,220.956691878714,Object was seen less than 300 feet from the ground it was in our free fire zone I was armed with a M60 michine gun I made no attempt to
4,1/17/2004,6/6/1966 13:00,1966,6,13,Summer,Vietnam,Qui-Nhon,13.782967,109.219663,Circle,20.0,174.029429875707,ORANGE GLOWNG LIGHT MOVING TOWARD US  STOPPING BREFLY AND BACKING UP AND THE LIGHT WENT OUT
5,6/20/2005,7/12/1966 03:00,1966,7,3,Summer,Vietnam,Cam Rahn Bay,11.893334,109.170167,Unspecified,600.0,36.2466794233734,The object with its bright light bounced up and down over the flightline like a bouncing ball&#44and had no engine sound.
6,12/3/2004,10/12/1967 01:45,1967,10,1,Autumn,Vietnam,Gia Lai Province,14.058324,108.277199,Other,3600.0,220.956691878714,Lights in the Nam
7,4/16/2005,11/11/1967 20:00,1967,11,20,Autumn,Vietnam,Da Nang,16.054407,108.202167,Light,60.0,1.20567781119726,Bright object travelling across the sky made a sudden 90 degree turn.
8,4/27/2007,1/1/1967 01:00,1967,1,1,Winter,Vietnam,Cam Rahn Bay,11.893334,109.170167,Cigar,30.0,36.2466794233734,Saw UFO when in Viet Nam..no doubt about it.
9,6/12/2007,6/1/1967 19:30,1967,6,19,Summer,Vietnam,Gia Lai Province,14.058324,108.277199,Light,120.0,220.956691878714,Submerged light under aircraft carrier.
10,10/10/2011,09/20/1967 22:00,1967,9,22,Autumn,Vietnam,Gia Lai Province,14.058324,108.277199,Other,900.0,220.956691878714,In Viet Nam night sky&#44 watched object move zig zag across sky then shoot straight up and disappear.
11,5/2/2014,1/1/1968 01:00,1968,1,1,Winter,Thailand,Udon Thani Province,17.364697,102.815892,Sphere,1800.0,3.79108280857907,Zig Zagging bright light over USAF Air Base in thailand 1968
12,4/16/2005,06/15/1968 01:00,1968,6,1,Summer,Thailand,Rayong Province,12.680084,101.006255,Formation,1200.0,0.136466190247386,Multiple lights in formation appearing on a horizontal line in the NNW sky
13,9/17/2000,1/1/1968 22:00,1968,1,22,Winter,Vietnam,Da Nang,16.054407,108.202167,Unspecified,600.0,1.20567781119726,Silent&#44 slow moving light that eventually took off very fast.
14,10/30/2006,6/1/1968 00:00,1968,6,0,Summer,Vietnam,Da Nang,16.054407,108.202167,Circle,240.0,1.20567781119726,Clear Star lit sky.Don&#39t remember date&#44 but was not close to rain season. North east sky why on duty at airbase was watching red tracer
15,1/10/2009,06/30/1968 00:00,1968,6,0,Summer,Vietnam,Tỉnh Bình Phước Province,14.44224,109.003713,Light,600.0,197.92656203862,Navy fighter jets reported that objects had blown their doors off.
16,11/20/2001,07/15/1968 19:00,1968,7,19,Summer,Vietnam,Tỉnh Bình Phước Province,13.782967,109.219663,Light,420.0,174.029429875707,2 high altitude lights making oblique turns&#44 starts and stops&#44 and then shooting into space at incredible speed.
17,7/16/2003,12/15/1969 21:00,1969,12,21,Winter,Vietnam,Gia Lai Province,14.058324,108.277199,Disk,900.0,220.956691878714,Saucer and Dome observed by Starlite Scope in Vietnam During the War.
18,4/27/2007,08/15/1969 22:00,1969,8,22,Summer,Vietnam,Binh Duong province,11.296371,106.806039,Unspecified,120.0,55.2531557053581,I was on perimeter guard duty with 3 others who were off watch and asleep.I remember this vividly and can&#39t ever forget it.while lookin
19,1/5/2011,6/1/1970 20:00,1970,6,20,Summer,Philippines,Bulacan,14.749886,120.973929,Light,20.0,27.2207074972937,Two UFO flying up and down back and forth in the speed of light (1970&#39s)
20,6/4/2004,10/1/1970 00:00,1970,10,0,Autumn,Vietnam,Gia Lai Province,14.058324,108.277199,Light,600.0,220.956691878714,U.F.O. in Vietnam    1970
21,8/12/2008,09/14/1972 17:00,1972,9,17,Autumn,Laos,Champasak Province,15.116667,105.783333,Circle,240.0,1.72324602861344,As I walked out from Pakse Tactical AFB headquarters at around 1700&#44 a bright jellyfish-like object hovered above the city.
22,3/16/2012,05/15/1972 10:00,1972,5,10,Spring,Vietnam,Gia Lai Province,14.058324,108.277199,Circle,720.0,220.956691878714,Object was about 150 meters in size was in our free kill zone I was armed but did not fire because of its size it was less than 500ft f
23,9/19/2002,6/1/1974 04:30,1974,6,4,Summer,Philippines,Capitol Site,10.315699,123.885437,Unspecified,300.0,10.2714285174344,A  huge craft&#44 (observed during nightime) like one entire city in the sky or millions of jetplanes flying in formation (no sound)
24,5/15/2013,6/1/1975 17:00,1975,6,17,Summer,Philippines,Pangasinan,15.916667,120.416667,Disk,3600.0,22.9298763039321,7 saucer shaped crafts 2 to 3 buses in diameter hoovering in line formation above much a little higher than the electric cables
25,7/16/2006,08/18/1976 22:00,1976,8,22,Summer,Philippines,Tarlac,15.475479,120.596349,Other,600.0,55.5455648707846,One big object the size of four hectars and two other objects the size of four passenger buses put side by side.
26,2/16/1999,10/19/1977 21:30,1977,10,21,Autumn,Philippines,Laguna,14.169912,121.244063,Unspecified,60.0,27.1293312797863,While satellite gazing at night&#44 three objects moving in the upper atmosphere stopped completely for a second&#44 then proceeded in differ
27,9/2/2005,05/25/1981 21:45,1981,5,21,Spring,Philippines,Romblon,12.879721,121.774017,Light,600.0,53.7998230729948,I was looking on the sky two lights moving slowly its look like they seeking each other.
28,7/23/2003,6/1/1985 14:00,1985,6,14,Summer,Thailand,Phetchabun Province,15.870032,100.992541,Triangle,300.0,94.1353226143183,Three U.S. Navy personel witness triangular shaped object in day time sky outside popular Thailand tourest area.
